"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Robbie Ray","Diamondbacks","70.2 %","93.7","18.4 %","84.0","","","4.6 %","81.4","6.8 %","85.4","","","","","0.3 %","11486"
"Sammy Solis","Nationals","67.5 %","93.7","","","","","23.2 %","80.6","9.3 %","85.3","","","","","1.5 %","11457"
"Luis Perdomo","Padres","66.3 %","93.7","24.5 %","83.3","","","","","9.2 %","87.9","","","","","1.0 %","14682"
"Eduardo Rodriguez","Red Sox","67.5 %","93.7","13.3 %","85.7","0.8 %","90.4","","","18.4 %","87.0","","","","","0.1 %","13164"
"Greg Holland","- - -","46.1 %","93.7","47.0 %","85.8","","","4.9 %","77.6","","","1.9 %","85.7","","","0.5 %","7196"
"Bud Norris","- - -","57.8 %","93.6","28.7 %","85.0","9.5 %","88.3","","","4.0 %","85.4","","","","","0.4 %","9492"
"Chris Sale","- - -","55.2 %","93.6","23.0 %","78.8","","","0.0 %","75.0","21.7 %","85.9","","","","","0.1 %","10603"
"Kevin Siegrist","Cardinals","70.9 %","93.6","3.4 %","80.7","","","5.4 %","73.2","20.4 %","85.2","","","","","0.8 %","8180"
"Glen Perkins","Twins","69.5 %","93.6","30.5 %","82.2","","","","","","","","","","","1.0 %","8041"
"Blake Snell","Rays","56.4 %","93.6","13.3 %","83.0","","","12.1 %","76.2","18.3 %","84.7","","","","","","13543"
"Justin Miller","Rockies","63.9 %","93.5","35.6 %","85.8","","","","","0.5 %","88.3","","","","","","8580"
"Michael Pineda","Yankees","52.4 %","93.5","38.4 %","85.6","","","","","9.2 %","88.3","","","","","0.1 %","5372"
"David Price","- - -","51.0 %","93.5","","","17.9 %","88.8","8.3 %","79.3","22.8 %","84.8","","","","","0.2 %","3184"
"Yu Darvish","Rangers","56.9 %","93.5","20.1 %","81.9","11.8 %","88.8","8.8 %","73.3","2.2 %","87.2","0.3 %","89.7","","","0.1 %","13074"
"Tyler Thornburg","Brewers","62.0 %","93.5","","","","","22.0 %","77.7","16.1 %","84.5","","","","","0.5 %","10688"
"Tony Watson","Pirates","71.4 %","93.5","6.7 %","84.6","","","","","21.9 %","85.2","","","","","0.3 %","3132"
"Edinson Volquez","- - -","52.5 %","93.5","","","","","23.9 %","80.3","23.6 %","84.1","","","","","0.1 %","3990"
"Chad Kuhl","Pirates","62.3 %","93.5","28.2 %","87.0","","","","","9.4 %","85.9","","","","","0.9 %","14975"
"Santiago Casilla","- - -","56.4 %","93.4","15.9 %","88.8","","","24.6 %","80.1","3.2 %","87.1","","","","","0.6 %","2873"
"Dylan Bundy","Orioles","57.6 %","93.4","5.8 %","83.6","","","17.3 %","76.1","19.3 %","84.5","","","","","0.6 %","12917"
"Carlos Rodon","White Sox","62.1 %","93.4","28.0 %","87.0","","","","","9.9 %","84.1","","","","","0.1 %","16137"
"Clayton Kershaw","Dodgers","52.2 %","93.4","30.2 %","88.2","","","17.0 %","73.4","0.6 %","86.9","","","","","0.1 %","2036"
"Mike Clevinger","Indians","58.6 %","93.4","18.2 %","83.7","","","5.9 %","74.4","17.3 %","86.9","","","","","","12808"
"Fernando Rodriguez","Athletics","65.8 %","93.4","","","20.0 %","89.4","12.3 %","79.0","1.9 %","87.5","","","","","0.4 %","7558"
"Rob Scahill","- - -","67.5 %","93.4","22.1 %","87.5","","","9.4 %","79.4","1.1 %","86.4","","","","","1.9 %","9286"
"Tony Cingrani","Reds","87.2 %","93.4","9.9 %","80.7","","","","","3.0 %","88.5","","","","","0.9 %","12555"
"Jimmy Nelson","Brewers","66.1 %","93.4","16.6 %","87.3","","","15.9 %","83.0","1.4 %","86.2","","","","","0.3 %","10547"
"Yimi Garcia","Dodgers","68.5 %","93.3","28.0 %","82.6","0.9 %","88.8","","","2.6 %","85.8","","","","","0.4 %","12095"
"Justin Verlander","Tigers","57.8 %","93.3","17.8 %","87.5","","","16.1 %","79.1","8.3 %","85.0","","","","","0.1 %","8700"
"Jarred Cosart","- - -","72.6 %","93.3","0.8 %","81.1","","","20.7 %","78.5","5.9 %","82.9","","","","","0.4 %","10304"
"Robert Gsellman","Mets","64.6 %","93.3","18.0 %","88.3","","","10.5 %","80.9","6.8 %","86.1","","","","","0.8 %","13696"
"Jose Berrios","Twins","64.0 %","93.3","","","","","21.6 %","81.0","14.4 %","84.6","","","","","","14168"
